POD Number,On-Prem Ent. Agent Configuration URL,On-Prem Agent Hostname,Azure Ent. Agent FQDN
POD-1,http://172.40.140.74,dmz-te-student-1,az-te-student-1.eastus.cloudapp.azure.com
POD-2,http://172.40.140.97,dmz-te-student-2,az-te-student-2.eastus.cloudapp.azure.com
POD-3,http://172.40.140.78,dmz-te-student-3,az-te-student-3.eastus.cloudapp.azure.com
POD-4,http://172.40.140.71,dmz-te-student-4,az-te-student-4.eastus.cloudapp.azure.com
POD-5,http://172.40.140.67,dmz-te-student-5,az-te-student-5.eastus.cloudapp.azure.com
POD-6,http://172.40.140.70,dmz-te-student-6,az-te-student-6.eastus.cloudapp.azure.com
POD-7,http://172.40.140.73,dmz-te-student-7,az-te-student-7.eastus.cloudapp.azure.com
POD-8,http://172.40.140.77,dmz-te-student-8,az-te-student-8.eastus.cloudapp.azure.com
POD-9,http://172.40.140.75,dmz-te-student-9,az-te-student-9.eastus.cloudapp.azure.com
POD-10,http://172.40.140.31,dmz-te-student-10,az-te-student-10.eastus.cloudapp.azure.com
POD-11,http://172.40.140.68,dmz-te-student-11,az-te-student-11.eastus.cloudapp.azure.com
POD-12,http://172.40.140.69,dmz-te-student-12,az-te-student-12.eastus.cloudapp.azure.com
POD-13,http://172.40.140.76,dmz-te-student-13,az-te-student-13.eastus.cloudapp.azure.com
POD-14,http://172.40.140.66,dmz-te-student-14,az-te-student-14.eastus.cloudapp.azure.com
POD-15,http://172.40.140.65,dmz-te-student-15,az-te-student-15.eastus.cloudapp.azure.com
POD-16,http://172.40.140.79,dmz-te-student-16,az-te-student-16.eastus.cloudapp.azure.com
POD-17,http://172.40.140.72,dmz-te-student-17,az-te-student-17.eastus.cloudapp.azure.com
